gene_id	Camb13_P	Camb13_R	Camb4_P	Camb7_P	Camb4_R	Camb7_R	Camb8_P	Camb9_P	Camb9_R	Camb8_R	Camb10_P	Camb10_R
ENSG00000089847	40	46	67	51	103	89	57	78	137	90	42	71
ENSG00000089876	201.27	260.96	300.31	209.81	175.36	162.98	168	149.83	259.42	299.38	60.22	254
ENSG00000089902	805	914	1324	635	758	876	582	759	702	633	216	554
ENSG00000089916	3940	4438	3471	2267	2548	3132	2886	2888	2750	1806	1180	2763
ENSG00000090006	960	978	1088	459	1794	132	1214	1001	2686	1695	235	313
ENSG00000090013	63	47	45	67	24	27	41	33	43	63	42	71
ENSG00000090020	283	193	429	318	181	234	317	308	397	277	150	342
ENSG00000090054	1029.32	1162.24	883.52	540.43	664.07	471	587.72	700.22	910.08	755	159	488
ENSG00000090060	3823	3662	4377	2949	3051	3193	2671	3098	3405	2916	1207	3018
ENSG00000090061	413.26	436.63	451.99	345.92	340.49	403.96	349	323.08	335.64	353.02	113.04	423
ENSG00000090097	784	827	670	587	801	738	512	846	1135	278	160	776
ENSG00000090104	830	919	2041	1483	249	248	290	334	838	341	428	515
ENSG00000090238	216	194.77	151	156.13	173	167	169	214	196	209	179	343
ENSG00000090263	247	219	237	189	200	233	215	215	299	290	79	298
ENSG00000090266	440.92	460.54	809.09	347.53	368.59	430.99	356	336	550.3	459.42	121.57	456
ENSG00000090273	200	193.77	274	178	216	288	188	215	289	268	87	380
ENSG00000090316	351	391	601	393	329	322	530	374	460	559	218	513
ENSG00000090339	223.32	248.73	620.99	178.26	33.27	46.95	69	249.13	237.81	173.82	133	245
ENSG00000090372	678.89	714.9	880.52	515.48	739.64	614.91	483	643.57	1022.91	540	377.91	653
ENSG00000090376	364	247	556	784	134	169	268	271	211	208	303	141
ENSG00000090382	79.78	94.16	192	347	15.36	45	13	63.94	295.5	56.76	117.85	159
ENSG00000090402	1	0	7	0	0	0	0	0	0	2	0	1
ENSG00000090432	294	276	328	252	153	168	232	206	268	274	112	393
ENSG00000090447	71	98	30	37	117	50	44	56	79	54	25	56
ENSG00000090470	457	579	489	276	245	365	326	375	427	336	211	417
ENSG00000090487	789	760	952	687	408	554	609	578	767	757	244	777
ENSG00000090512	0	2	4	0	3	1	0	1	1	0	0	1
ENSG00000090520	303	303.16	321.35	198.31	167	179	197	219	302	240.4	76	206
ENSG00000090530	227	118.92	326	69	33	21	55	50.94	144.62	207.86	38	147
ENSG00000090534	9	12	22	103.24	9	11	2	6.1	6	11	6	3
ENSG00000090539	153	109	118	455	91	71	108	57	94	84	40	46
ENSG00000090554	26	37.76	50.57	30.95	47.94	20.28	28.13	20.9	31.92	52.11	31.87	68
ENSG00000090565	1124	1146	2064	804	1277	732	894	1152	1452	1078	720	1298
ENSG00000090581	309.11	343.36	498.4	225.89	240	176.12	238	247.66	286.13	351.74	122.94	306
ENSG00000090612	905	1092	911	582	1010	593	416	695	1033	540	148	670
ENSG00000090615	2415.51	2675.95	2922	2159.67	2487.11	1938.04	1606	3040.82	3165.1	2260.79	1528.59	2252
ENSG00000090621	783.69	1034.63	1077.95	751.58	811.62	630.7	553	905.52	1110.15	723.52	358.7	889
ENSG00000090659	4	23	6	70	10	17	8	33.06	62	36	15	83
ENSG00000090661	307	318	240	105	229	153	124	270	283	193	70	259
ENSG00000090674	108.05	181.49	217.65	91.35	90.22	62.76	102	158.87	194.42	108.88	55.59	153
ENSG00000090686	1169	1383	1332	826	866	884	802	1171	1039	1066	364	943
ENSG00000090776	153	328	234	169	180	114	73	124	199	69	78	306
ENSG00000090857	1927.34	1583.07	2218.74	1758.52	1531.19	1737.14	1473.03	1669.91	2302.91	1768.57	596.8	1747.81
ENSG00000090861	1740	1184	1253	984	1105	904	884	1319	1782	2284	658	1226
ENSG00000090863	4539	4506	4601	2254	2497	2828	2554	2275	3077	3093	1319	3807
ENSG00000090889	248	472	312	181	173	290	144	221	391	108	46	326
ENSG00000090905	3137	3036	2081	2162	3183	1790	2312	3340	3317	3166	1209	3480
ENSG00000090924	1059.04	1122.32	2061.85	1284.53	1312.82	623.64	1048	1425.69	1550.78	864.63	542.65	686
ENSG00000090932	400	155	52	168	456	154	99	391	605	219	15	33
ENSG00000090971	269	313	220	132	203	157	337	160	280	292	142	388
ENSG00000090975	817	654	988	463	716	364	522	584	625	582	190	515
ENSG00000090989	979.6	793	812.91	519.78	623.66	526.07	617	498.3	500.21	956.52	249.74	682
ENSG00000091009	1108.79	1133.48	1060.79	584.5	671.99	834.11	662.71	821.02	894.67	904.33	308.61	868.5
ENSG00000091010	4	3	3	2	3	3	3	4	8	6	0	2
ENSG00000091039	2114	2575	2186	1557	1902	1940	1459	1499	2207	1887	456	1138
ENSG00000091073	132.38	145.05	261.37	134.24	132.83	81.6	117.26	137.77	178.08	137.23	101.9	193.57
ENSG00000091106	23.55	65.12	95.25	65.84	19.5	19.26	8	39.84	55.72	19.7	21.06	37
ENSG00000091127	349	394	792	224	435	245	245	459	652	467	72	324
ENSG00000091128	174	224.8	204.3	36	146	9	31	262	325	24	11	12
ENSG00000091129	8818	7203	12821	5671	9392	3852	8375	9188	9120	6503	2254	5641
ENSG00000091136	1137	1667	5364	1831.33	768	120	1845	1862	2624.12	1344.51	526	410
ENSG00000091137	37	22	84	15	4	15	24	30	39.09	36	11	16
ENSG00000091138	2	1	8	0	3	3	0	6	3	3	0	0
ENSG00000091140	868	858	1292	557	749	636	814	623	971	865	242	904
ENSG00000091157	1200.93	1461.97	1351	981	1269.65	1144.95	891.1	1069.99	1363.75	1128.97	300.81	1092
ENSG00000091164	1309.07	1264.03	865	564	914.19	970.05	822	707.24	840.26	1236.03	339.19	872
ENSG00000091181	0	0	4	1	5	4	0	5	24	1	2	9
ENSG00000091262	28.28	17.16	66.1	34.37	39.02	24.61	6.99	29.25	43.69	34.08	18.67	22.56
ENSG00000091317	755	961	867	668	404	486	557	556	775	560	173	707
ENSG00000091409	1316.86	1619.74	1053.09	1529.25	478.74	964.67	1372	453.86	667.89	2555.38	176.62	927
ENSG00000091428	811	429	499	196	328	845	199	302	278	265	73	71
ENSG00000091436	906.85	940	1387	508	682.9	529	484	679	738	659	242	757
ENSG00000091482	2	0	0	2	1	0	0	0	1	0	0	0
ENSG00000091483	353	438	351	300	288	334	343.95	292	452	424	82	350
ENSG00000091490	198	89	160	225	172	129	93	335	303	103	64	154
ENSG00000091513	549.61	3649	264	342	862	1246	825	552	535	1431	247	3691
ENSG00000091527	2182	2264	2374	1379	1159	1357	1172	1611	2273	1463	475	1517
ENSG00000091536	15	5	23	12	67	37	4	31	29	17	74	59
ENSG00000091542	1230.04	1059.73	1582.3	1149.85	1155.67	1365.28	923	724.82	1103.49	1462.07	784.71	1832
ENSG00000091583	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000091592	151.63	89.01	166.18	350.17	70.02	157.08	65	130.3	200.18	129	142	140
ENSG00000091622	226.73	69.09	38.3	52.24	213.65	263.94	90	78.31	71.3	132.71	62.99	223
ENSG00000091640	181	169	165	112	115	74	119	115	164	112	43	183
ENSG00000091651	58	99	69	43	61	41	18	67	98	33	2	28
ENSG00000091656	3175.88	4932	3696.47	1234.13	2100	2182.81	3464	2770.98	2797	4840.24	2191.76	4770
ENSG00000091664	24	2	1	8	51	88	9	16	7	0	0	0
ENSG00000091704	1	0	3	0	2	0	0	0	2	0	0	2
ENSG00000091732	218	189	334	159	180	190	176	181	297	202	68	174
ENSG00000091831	164	194	241	210	289	148	20	245	284	217	77	97
ENSG00000091844	741	1421	831	428	1015	712	146	1115	1011	522	221	141
ENSG00000091879	1069	366	1025	880	508	277	405	646	639	738	239	264
ENSG00000091947	116	167	139	84	71	67.85	83	134.98	140	85	71.79	148
ENSG00000091972	334	329.79	111	222	196	241	134	132	117	104	8	113
ENSG00000091986	3499	628	3338	775	1119	939	1321	351	541	1242	357	1237
ENSG00000092009	2	2	3	1	1	0	0	7	7	1	1	0
ENSG00000092010	257	266	283	258	100	211	206	111	140	199	70	248
ENSG00000092020	244.49	328.96	296.45	179.4	145	222	168	176.44	222.65	200.6	61	198
ENSG00000092036	124.36	125.7	107.71	130.81	58.03	78.26	34.16	90.33	83.21	95.15	45.72	105.31
ENSG00000092051	282.94	379.32	21	193.14	725.49	904.66	194	409.01	402.5	308	186	582
ENSG00000092054	56	65	14	19	153.87	53.89	10	33.68	72.94	50	44	188.97
ENSG00000092067	0	1	0	4	0	0	0	0	0	0	0	1
ENSG00000092068	132.84	141.86	144	285	103	96.24	97	144.44	154	199	109	441.45
ENSG00000092094	153.04	209.55	233.2	148.02	182.63	126.55	144	264.81	231.7	216.25	61.61	223
ENSG00000092096	1207	1126	779	886	2135	1146	628	1485	1752	843	599	1664
ENSG00000092098	330	471	566	329	404	222	290	464	490	349	191	548
ENSG00000092108	849	899	1107	570	610	646	614	694	696	802	338	907
ENSG00000092140	642.84	808.81	753.8	476.79	632.71	577.75	448	610.3	733.79	485	181	509
ENSG00000092148	3309.21	4162.41	3886.94	2489.77	2285.65	3136.92	2277	2681.29	3399.51	3139.62	1230.77	3178
ENSG00000092199	4915.72	5216.49	5231.86	3184.9	3564.89	4035.93	3080.94	4327.91	4547.96	3405.9	1528.97	3744.92
ENSG00000092200	0	6	7	2	5	1	3	3	1	0	0	0
ENSG00000092201	1330.14	1671.97	1117.42	709.9	906.44	1091.77	789.97	955.05	1444.86	948.99	271.31	1162.99
ENSG00000092203	1090.84	1130.19	1087.11	721.71	938.06	915.74	618	753.53	886.21	997.01	413.99	997
ENSG00000092208	82	87	102	54	74	80	37	86	95	52	27	61
ENSG00000092295	21	22	44	8	43	9	14	51	50	42	27	33
ENSG00000092330	489.97	468.65	528	339.37	306.84	302	287	359.84	378.09	401.68	168	422
ENSG00000092345	0	0	0	6	0	1	0	0	1	0	3	0
ENSG00000092377	0	0	0	0	0	0	0	0	0	0	0	3
ENSG00000092421	4535.55	3606.09	4302.2	1860	1865.01	2699.36	2798	1337.13	1663.78	3073.78	576.69	2606
ENSG00000092439	1609.73	1860.93	2456.38	1352.18	917.63	1385.19	1237.6	1693.74	1882.05	1719.69	704.46	1715.55
ENSG00000092445	1049	995	496	445	466	729	279	584	836.73	493	196	1510
ENSG00000092470	270	524	257	165	165	263	125	389	495	174	80	140
ENSG00000092529	295	793	423.22	518	409	573.15	173	566	443.05	341	288.08	1335
ENSG00000092531	527.88	600.33	686.68	450.1	234.49	327.03	357	357.02	397.19	441.53	219.63	526
ENSG00000092607	121	131	143	197	116	126	108	98	190	167	129	245
ENSG00000092621	427	342	171	181	408	263	274	400.99	877	719.96	97	542
ENSG00000092758	646.33	788.64	385.34	166.25	278.25	200.23	50	181.46	355.15	136	16	142
ENSG00000092820	1707	1169	1095	1135	1203	1139	935	901	1333	1994	287	1806
ENSG00000092841	2477.95	2318.42	3682.73	1988.98	1446.35	1708.68	2100	2143.75	2664.22	2357.68	732.34	1887
ENSG00000092847	2334	2657	2258	1789	2506	2772	1636	2556	2895	1887	745	2169
ENSG00000092850	16	32	27	5	13	5	8	20	36	20	13	141
ENSG00000092853	362.95	503	322	195	238	312	158	391	345	131	56	89
ENSG00000092871	1021.76	1833.75	1220.15	700.78	812.92	1173.43	262	1035.27	1065.37	397.31	326.36	1115
ENSG00000092929	73	72	157	192	95	133	52	168	158	99	275	178
ENSG00000092931	307.62	368.12	414.41	302.54	183.17	329.76	267	409.29	432.15	359.19	108.94	303
ENSG00000092964	13870	14035	22345	6325	9606	8890	7172	10301	9309	8443	3756	12413
ENSG00000092969	1462.42	679.89	1575.95	260.47	459.68	236.5	929.56	477.87	718.98	2278.47	334.78	1437.48
ENSG00000092978	477	512	598	293	301	325	328	439	480	468	170	526
ENSG00000093000	1075.56	1326.78	785.65	681.65	887.72	674.85	777.91	1013.99	1119.87	744.91	333	764
ENSG00000093009	45	109	39	32	40	55	37	69	81	34	1	12
ENSG00000093010	785	720	455	427	495	324	489	316	309	651	198	763
ENSG00000093072	449	386	252	353	250	101	115	119	173	206	159	816
ENSG00000093134	0	0	0	0	0	0	4	0	0	2	6	0
ENSG00000093144	621	690.95	755	519.77	470.94	481	395	510	694.94	566	89	370
ENSG00000093167	462	624	473	410	467	318	304	369	443	529	97	417
ENSG00000093183	968.61	1194.71	966	644	893	736	802	984	1228	1119.8	281	973
ENSG00000093217	136	194	80	127	183	129	55	195	273	85	32	140
ENSG00000094631	925	961	1024	778	1135	738	675	957	1012	943	480	990
ENSG00000094661	1	4	4	1	5	3	0	1	3	3	15	0
ENSG00000094755	1	0	0	1	0	6	0	3	3	0	0	0
ENSG00000094796	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000094804	163	282	223	103	111	180	90	235	232	81	44	62
ENSG00000094841	270	286	466	200	239	187	157	233	285	261	139	234
ENSG00000094880	505	553	444	277	256	337	309	366	577	411	137	283
ENSG00000094914	387	484	407	328	312	295	229	371	359	284	225	549
ENSG00000094916	13210	16006	11434.11	7199.95	9679	10260	9581	9907	13520	11509	2073	7428
ENSG00000094963	31	21	45	134	19	51	9	5	27.75	8	14	61
ENSG00000094975	1527	1828	1207	803	918	1023	814	1084	1084	1325	412	1193
ENSG00000095002	652.18	284.81	503.79	392.26	607.73	527.19	326	590.31	746.54	482.83	173.72	582
ENSG00000095015	1964.33	1743.62	727.54	677.95	613	1162.31	666	450.74	632.4	652.18	177	575
ENSG00000095059	330.54	328.88	354.72	188	259	186.81	165	348.66	448.83	316.79	194	352
ENSG00000095066	101	161	306	84	143	89	177	224	150	239	112	186
ENSG00000095110	54	14	70	15	5	13	0	21	24	32	7	1
ENSG00000095139	2179	1983	2322	1187	1161	1181	1250	1131	1601	1607	563	1781
ENSG00000095203	107	208	15	116	17	350	35	110	186	35	36	110
ENSG00000095209	271	270	223	113	153	127	92	146	222	126	47	121
ENSG00000095261	434	325	624	373	483	293	330	277	234	464	98	239
ENSG00000095303	1039	1917	1526	282	53	152	641	80	139	185	146	204
ENSG00000095319	1045	1345	1133	643	937	571	682	1104	1830	784	228	558
ENSG00000095321	340	305	432	284	249	269	340	216	334	443	76	260
ENSG00000095370	90	24	81	164	95	52	89	68	150.89	102	43	56
ENSG00000095380	280	261	233	156	164	89	67	267	264	258	81	97
ENSG00000095383	73	262	122	141	116	72	29	115	114	78	50	242
ENSG00000095397	319	447	124	206	145	157	202	141	145	363	97	470
ENSG00000095464	16	12	17	9	14	9	0	11	17	13	3	0
ENSG00000095485	131.76	165.37	139.11	89.81	149.24	86.43	58	107	152	89.02	47	110
ENSG00000095539	90	144.57	199.16	114.62	185.01	138	48	104.36	102.42	112.55	77	95
ENSG00000095564	1417	1894	1501	1360	1813	1842	828	1455	1763	1412	717	1495
ENSG00000095574	482	495	404	229	390	378	227	305	371	300	130	361
ENSG00000095585	45	46.22	64	63	26	25	26	21.86	18	39	12.64	14.63
ENSG00000095587	22	37	0	2	4	28	4	8	4	5	6	69
ENSG00000095596	0	1	0	1	0	1.15	0	0	0	0	2.25	1.36
ENSG00000095627	13	3	15	8	5	4	28	5	7	16	0	8
ENSG00000095637	5097	3325	5200	2902	3678	2637	3660	2729	2845	3544	1533	3943
ENSG00000095713	21	8	7.1	5	85	11	2	26	35	0	11	196
ENSG00000095739	37	82	20	21	16	60	26	165	255	42	5	105
ENSG00000095752	3	5	3	5	31	6	10	17	18	16	4	42
ENSG00000095777	0	2	2	51	0	123	0	4	0	1	0	1
ENSG00000095787	1266.26	1309.08	1465.53	831.57	1065.78	1368.91	886	1016.16	1242.75	1079.19	411	1187
ENSG00000095794	267	196	253	152.99	75	73	149	78	117	170	51.29	109
ENSG00000095906	211	238	241	181	232	140	146	268	434	161	124	265
ENSG00000095917	0	0	0	0	0	0	0	0	0	0	0	10
ENSG00000095932	11	2	7	3	3	3	2	2	8	3	4	0
ENSG00000095951	1051	1249	1204	584	1076	654	807	959	1219	1174	401	1352
ENSG00000095970	99	76	176	158	28	31	39	31	79	55	47	96
ENSG00000095981	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000096006	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000096060	3103	3256	4390	3532	2363	1647	3952	2584	2292	1776	960	678
ENSG00000096063	615.47	656.88	687.35	367.13	618.35	498.03	503	576.18	836.72	453.54	128.58	490
ENSG00000096070	694	775	1005	689	654	778	687	763	919	667	332	755
ENSG00000096080	124.73	166.48	209.9	109.43	141.53	134.16	154	85.69	153.08	152.38	22.99	86
ENSG00000096088	1	2	6	0	3	0	0	2	3	0	1	4
ENSG00000096092	80	98	93	59	78	140	83	94	134	155	15	134
ENSG00000096093	1374.12	1217.24	1499.7	752	811.86	617.67	707	1085.59	1138.56	965.19	801.22	2649
ENSG00000096264	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000096384	5913.9	6005.94	4374.98	3545.91	3665.83	4463.85	3544.97	3165.93	6509.89	4163.82	3054.98	7441.95
ENSG00000096395	0	0	0	0.15	0	0	0	1	0	0	0	0
ENSG00000096401	860.85	911.51	793.14	417.96	699.86	640.89	537	613.53	1085.22	668	214.9	663
